,Body_Type,Diet,Gender,Social_Activity,How_Often_Shower,Heating_Energy_Source,Transport,Vehicle_Type,Waste_Bag_Size,Frequency_Travelling_Air,New_Clothes_Monthly,Waste_Bag_Weekly,Monthly_Grocery_Bill,Daily_TV_PC_Hour,Vehicle_Monthly_Distance,Energy_Efficiency
0,underweight,vegan,other,high,frequently,wood,hybrid,diesel,medium,never,14.0,7.0,136.0,1.01,3724.0,1.02
1,average,omnivore,female,high,frequently,gas,private,electric,large,rarely,4.0,4.0,277.0,11.57,3478.0,1.12
2,athletic,vegan,male,moderate,rarely,electricity,public,hybrid,extra large,rarely,0.0,4.0,479.0,5.23,2823.0,6.68
3,underweight,omnivore,female,moderate,daily,solar,hybrid,diesel,large,never,9.0,5.0,323.0,10.51,4500.0,5.02
4,underweight,omnivore,other,moderate,twice a day,gas,private,petrol,medium,frequently,8.0,5.0,571.0,5.84,1181.0,1.01
5,average,vegan,other,high,daily,wood,private,hybrid,extra large,rarely,12.0,5.0,533.0,7.79,2047.0,3.28
6,athletic,vegetarian,other,moderate,daily,solar,private,electric,extra large,never,10.0,4.0,540.0,9.07,837.0,6.71
7,athletic,omnivore,other,high,daily,electricity,bike,electric,medium,frequently,8.0,5.0,457.0,6.42,1779.0,2.79
8,underweight,vegan,female,moderate,twice a day,electricity,public,petrol,medium,never,4.0,3.0,86.0,11.24,4823.0,8.07
9,overweight,pescetarian,male,high,rarely,gas,private,petrol,small,rarely,13.0,5.0,249.0,0.58,2266.0,3.52
10,underweight,vegan,female,moderate,twice a day,electricity,hybrid,electric,medium,rarely,15.0,4.0,517.0,10.02,4793.0,9.48
11,underweight,pescetarian,male,moderate,twice a day,gas,private,petrol,large,frequently,1.0,2.0,92.0,8.25,1929.0,5.68
12,underweight,omnivore,other,moderate,rarely,electricity,public,petrol,extra large,rarely,14.0,2.0,259.0,3.97,3710.0,2.58
13,underweight,vegan,male,high,rarely,solar,bike,electric,small,never,16.0,4.0,330.0,5.64,2305.0,2.03
14,average,vegan,other,high,rarely,wood,private,hybrid,small,never,4.0,1.0,535.0,5.66,1699.0,5.511804247645762
15,athletic,pescetarian,female,moderate,frequently,solar,hybrid,diesel,small,frequently,9.0,6.0,351.0,0.52,3881.0,7.33
